"X","sample_pair","group","beta_div_method","beta_div_value","time"
524,"300-96","Time 1","bray",0.647058823529412,1
525,"318-323","Time 1","bray",0.76,1
526,"318-343","Time 1","bray",0.746434231378764,1
527,"318-358","Time 1","bray",0.725055432372506,1
528,"318-359","Time 1","bray",0.78125,1
529,"318-46","Time 1","bray",0.77319587628866,1
530,"318-5","Time 1","bray",0.740318906605923,1
531,"318-96","Time 1","bray",0.737704918032787,1
532,"323-343","Time 1","bray",0.770114942528736,1
533,"323-358","Time 1","bray",0.67843137254902,1
534,"323-359","Time 1","bray",0.722222222222222,1
535,"323-46","Time 1","bray",0.778546712802768,1
536,"323-5","Time 1","bray",0.522633744855967,1
537,"323-96","Time 1","bray",0.748792270531401,1
538,"343-358","Time 1","bray",0.716049382716049,1
539,"343-359","Time 1","bray",0.747412008281574,1
540,"343-46","Time 1","bray",0.742307692307692,1
541,"343-5","Time 1","bray",0.70042194092827,1
542,"343-96","Time 1","bray",0.683720930232558,1
543,"358-359","Time 1","bray",0.676567656765677,1
544,"358-46","Time 1","bray",0.729411764705882,1
545,"358-5","Time 1","bray",0.625850340136054,1
546,"358-96","Time 1","bray",0.711827956989247,1
547,"359-46","Time 1","bray",0.810089020771513,1
548,"359-5","Time 1","bray",0.711340206185567,1
549,"359-96","Time 1","bray",0.705627705627706,1
550,"46-5","Time 1","bray",0.75,1
551,"46-96","Time 1","bray",0.763527054108216,1
